axis,axis_group,gene,cosine_mean,rank,known_AD_target,ad_lit_count,allergy_imm_count,novelty_tier,sm_tier,degrader_tier,degrader_score,n_allergic_disease_loci,top_disease_trait,top_disease_p
IRF1,AD_GWAS_TF,USF2,0.394,2,False,19,66,minimal AD literature (emerging),none,low,0.0,0,,
IRF1,AD_GWAS_TF,AK3,0.388,3,False,11,17,minimal AD literature (emerging),structural ligand/pocket,moderate (structural ligand),3.0,0,,
IRF1,AD_GWAS_TF,CTDSPL2,0.388,4,False,0,0,unstudied in AD (novel),none,low,0.0,0,,
IRF1,AD_GWAS_TF,GCN1,0.381,5,False,9,10,minimal AD literature (emerging),none,low,0.0,0,,
IRF1,AD_GWAS_TF,UBE2V2,0.381,6,False,4,4,minimal AD literature (emerging),structural ligand/pocket,moderate (structural ligand),3.0,0,,
IRF1,AD_GWAS_TF,MEAF6,0.376,7,False,4,5,minimal AD literature (emerging),none,"handle only (ubiquitinated, no ligand)",1.0,0,,
IRF1,AD_GWAS_TF,WASF2,0.365,8,False,3,16,minimal AD literature (emerging),structural ligand/pocket,moderate (structural ligand),3.0,0,,
IRF1,AD_GWAS_TF,HSP90AB1,0.355,9,False,72,161,some AD literature,clinical,high (HQ ligand + ubiquitination),4.0,0,,
IRF1,AD_GWAS_TF,CSK,0.328,10,False,237,621,well-studied in AD/immunology,high-quality pocket/ligand,high (HQ ligand + ubiquitination),4.0,0,,
IRF1,AD_GWAS_TF,ZNF649,0.317,11,False,0,3,unstudied in AD (novel),none,"handle only (ubiquitinated, no ligand)",1.0,0,,
IRF1,AD_GWAS_TF,RBM5,0.307,12,False,10,12,minimal AD literature (emerging),,,,0,,
IRF1,AD_GWAS_TF,FRS3,0.305,13,False,1,7,minimal AD literature (emerging),,,,0,,
IRF1,AD_GWAS_TF,RELA,0.304,14,False,2192,4684,well-studied in AD/immunology,,,,0,,
IRF1,AD_GWAS_TF,KHDRBS1,0.304,15,False,5,13,minimal AD literature (emerging),,,,0,,
IRF1,AD_GWAS_TF,CPSF6,0.299,16,False,11,24,minimal AD literature (emerging),,,,0,,
LCK,ActivationTone,VAV1,0.855,2,False,112,426,some AD literature,structural ligand/pocket,moderate (structural ligand),3.0,0,,
LCK,ActivationTone,CD3E,0.847,3,False,385,1269,well-studied in AD/immunology,clinical,high (HQ ligand + ubiquitination),4.0,0,,
LCK,ActivationTone,PLCG1,0.843,4,False,62,149,some AD literature,high-quality pocket/ligand,high (HQ ligand + ubiquitination),4.0,0,,
LCK,ActivationTone,ZAP70,0.835,5,False,234,690,well-studied in AD/immunology,high-quality pocket/ligand,high (HQ ligand + ubiquitination),4.0,0,,
LCK,ActivationTone,ITK,0.8,6,False,354,729,well-studied in AD/immunology,approved drug,high (HQ ligand + ubiquitination),4.0,3,asthma,8e-10
LCK,ActivationTone,TMX1,0.793,7,False,2,7,minimal AD literature (emerging),none,low,0.0,1,allergen exposure measurement,3e-07
LCK,ActivationTone,CD247,0.789,8,False,69,130,some AD literature,structural ligand/pocket,moderate (structural ligand),3.0,0,,
LCK,ActivationTone,PTPRC,0.784,9,False,181,526,well-studied in AD/immunology,high-quality pocket/ligand,high (HQ ligand + ubiquitination),4.0,14,asthma,3e-15
LCK,ActivationTone,MALT1,0.72,10,False,356,659,well-studied in AD/immunology,approved drug,high (HQ ligand + ubiquitination),4.0,0,,
LCK,ActivationTone,CD28,0.716,11,False,3562,10911,well-studied in AD/immunology,structural ligand/pocket,moderate (structural ligand),3.0,0,,
