axis,axis_group,gene,cosine_mean,rank,known_AD_target
TBX21,Th1_IFNg,VAV1,0.592,2,False
TBX21,Th1_IFNg,NDFIP2,0.578,3,False
TBX21,Th1_IFNg,ITK,0.571,4,False
TBX21,Th1_IFNg,CD247,0.56,5,False
TBX21,Th1_IFNg,LCK,0.544,6,False
TBX21,Th1_IFNg,CD2,0.534,7,False
TBX21,Th1_IFNg,CD3E,0.531,8,False
TBX21,Th1_IFNg,ZAP70,0.526,9,False
TBX21,Th1_IFNg,RCOR1,0.526,10,False
TBX21,Th1_IFNg,MORC2,0.511,11,False
TBX21,Th1_IFNg,RC3H1,0.509,12,False
TBX21,Th1_IFNg,TMX1,0.508,13,False
TBX21,Th1_IFNg,CD99L2,0.503,14,False
TBX21,Th1_IFNg,PGAM1,0.502,15,False
TBX21,Th1_IFNg,SCAF4,0.498,16,False
AHR,Th22_AHR,ARNT,0.708,2,False
AHR,Th22_AHR,STIP1,0.554,3,False
AHR,Th22_AHR,AIP,0.51,4,False
AHR,Th22_AHR,DOCK2,0.442,5,False
AHR,Th22_AHR,NCKAP1L,0.426,6,False
AHR,Th22_AHR,WASF2,0.401,7,False
AHR,Th22_AHR,EZH2,0.387,8,False
AHR,Th22_AHR,SIAH2,0.383,9,False
AHR,Th22_AHR,ZNF613,0.379,10,False
AHR,Th22_AHR,BRK1,0.372,11,False
AHR,Th22_AHR,SOCS3,0.352,12,False
AHR,Th22_AHR,TMED4,0.351,13,False
AHR,Th22_AHR,ECHS1,0.348,14,False
AHR,Th22_AHR,ARIH1,0.327,15,False
AHR,Th22_AHR,CUL3,0.324,16,False
STAT5B,JAK_STAT,IL2RB,0.588,2,False
STAT5B,JAK_STAT,PKM,0.512,3,False
STAT5B,JAK_STAT,SMARCE1,0.492,4,False
STAT5B,JAK_STAT,CREBBP,0.486,5,False
STAT5B,JAK_STAT,CFAP20,0.445,6,False
STAT5B,JAK_STAT,PGAM1,0.444,7,False
STAT5B,JAK_STAT,CLASRP,0.436,8,False
STAT5B,JAK_STAT,PGK1,0.412,9,False
STAT5B,JAK_STAT,SMARCC1,0.407,10,False
STAT5B,JAK_STAT,MFSD4B,0.389,11,False
STAT5B,JAK_STAT,ENO1,0.385,12,False
STAT5B,JAK_STAT,DHX36,0.368,13,False
STAT5B,JAK_STAT,PCGF3,0.366,14,False
STAT5B,JAK_STAT,TBX21,0.359,15,False
STAT5B,JAK_STAT,ARID1A,0.359,16,False
TYK2,JAK_STAT,IFNAR1,0.611,2,False
TYK2,JAK_STAT,STAT2,0.599,3,False
TYK2,JAK_STAT,WAC,0.576,4,False
TYK2,JAK_STAT,UBE2V2,0.55,5,False
TYK2,JAK_STAT,PCBP1,0.548,6,False
TYK2,JAK_STAT,IRF2BP1,0.537,7,False
TYK2,JAK_STAT,RSBN1L,0.529,8,False
TYK2,JAK_STAT,PPIH,0.526,9,False
TYK2,JAK_STAT,ADNP2,0.522,10,False
TYK2,JAK_STAT,ELP3,0.516,11,False
TYK2,JAK_STAT,PRPF39,0.504,12,False
TYK2,JAK_STAT,NRBP1,0.499,13,False
TYK2,JAK_STAT,CAB39,0.49,14,False
TYK2,JAK_STAT,ZNF649,0.487,15,False
TYK2,JAK_STAT,GYPC,0.485,16,False
IRF1,AD_GWAS_TF,USF2,0.394,2,False
IRF1,AD_GWAS_TF,AK3,0.388,3,False
IRF1,AD_GWAS_TF,CTDSPL2,0.388,4,False
IRF1,AD_GWAS_TF,GCN1,0.381,5,False
IRF1,AD_GWAS_TF,UBE2V2,0.381,6,False
IRF1,AD_GWAS_TF,MEAF6,0.376,7,False
IRF1,AD_GWAS_TF,WASF2,0.365,8,False
IRF1,AD_GWAS_TF,HSP90AB1,0.355,9,False
IRF1,AD_GWAS_TF,CSK,0.328,10,False
IRF1,AD_GWAS_TF,ZNF649,0.317,11,False
IRF1,AD_GWAS_TF,RBM5,0.307,12,False
IRF1,AD_GWAS_TF,FRS3,0.305,13,False
IRF1,AD_GWAS_TF,RELA,0.304,14,False
IRF1,AD_GWAS_TF,KHDRBS1,0.304,15,False
IRF1,AD_GWAS_TF,CPSF6,0.299,16,False
LCK,ActivationTone,VAV1,0.855,2,False
LCK,ActivationTone,CD3E,0.847,3,False
LCK,ActivationTone,PLCG1,0.843,4,False
LCK,ActivationTone,ZAP70,0.835,5,False
LCK,ActivationTone,ITK,0.8,6,False
LCK,ActivationTone,TMX1,0.793,7,False
LCK,ActivationTone,CD247,0.789,8,False
LCK,ActivationTone,PTPRC,0.784,9,False
LCK,ActivationTone,MALT1,0.72,10,False
LCK,ActivationTone,CD28,0.716,11,False
LCK,ActivationTone,NDFIP2,0.711,12,False
LCK,ActivationTone,CAMSAP1,0.65,13,False
LCK,ActivationTone,UBIAD1,0.627,14,False
LCK,ActivationTone,NCAPG2,0.607,15,False
LCK,ActivationTone,DOLPP1,0.593,16,False
