anchor,group,n_screened,self_rank,self_cos,top3
TBX21,Th1_IFNg,819,1.0,0.898,"TBX21, VAV1, NDFIP2, ITK"
STAT1,Th1_IFNg,819,,,"UBE2V2, WASF2, SLTM, USF2"
JAK2,JAK_STAT,819,,,"WASF2, GCN1, MYB, UBE2V2"
TYK2,JAK_STAT,819,1.0,0.983,"TYK2, IFNAR1, STAT2, WAC"
STAT5A,JAK_STAT,819,,,"STAT5B, CFAP20, LETM2, IL2RB"
STAT5B,JAK_STAT,819,1.0,0.786,"STAT5B, IL2RB, PKM, SMARCE1"
AHR,Th22_AHR,819,1.0,0.894,"AHR, ARNT, STIP1, AIP"
LCK,ActivationTone,819,1.0,0.898,"LCK, VAV1, CD3E, PLCG1"
PRKCQ,ActivationTone,819,,,"MALT1, PTPRC, CD28, NCAPG2"
NFATC2,ActivationTone,819,,,"PPP3R1, ITK, ORAI1, PTPRC"
REL,ActivationTone,819,,,"EGR2, TMX1, LZTS1, ZNF641"
IKZF1,AD_GWAS_TF,819,,,"MALT1, RPE, DOLPP1, NCAPG2"
IRF1,AD_GWAS_TF,819,1.0,0.935,"IRF1, USF2, AK3, CTDSPL2"
