gene,cosine_Stim8hr,pearson_8,n_downstream_8,cosine_Stim48hr,pearson_48,n_downstream_48,cosine_mean,cosine_min,n_downstream_max,rank,n_downstream_Stim8hr,n_downstream_Stim48hr,nd_min,anchor
GATA3,0.8657987483175016,0.864377379166046,1238,0.8737011605119307,0.8758022070929489,1252,0.8697499544147161,0.8657987483175016,1252,1,1238.0,1252.0,1238.0,GATA3
TPD52,0.6375942593431481,0.6357179751765359,120,0.5262102881085511,0.525899736259356,92,0.5819022737258496,0.5262102881085511,120,2,120.0,92.0,92.0,GATA3
SMARCA4,0.3418395439526525,0.33183512811617266,164,0.35018899822552046,0.3394924850011753,300,0.34601427108908644,0.3418395439526525,300,3,164.0,300.0,164.0,GATA3
ZNF649,0.32907357455465647,0.31764797461760935,280,0.31306937779762906,0.30601670052423974,1173,0.32107147617614273,0.31306937779762906,1173,4,280.0,1173.0,280.0,GATA3
SEC14L2,0.29239828376459825,0.2770969291378249,70,0.3284493594497723,0.3299184249010242,101,0.3104238216071853,0.29239828376459825,101,5,70.0,101.0,70.0,GATA3
KMT2C,0.3557973432839029,0.34145993486023796,306,0.2606797147847412,0.2530429078738029,461,0.30823852903432203,0.2606797147847412,461,6,306.0,461.0,306.0,GATA3
ACTR8,0.3072441785288018,0.3027972905175683,850,0.30705461372233184,0.3143409718570835,637,0.3071493961255668,0.30705461372233184,850,7,850.0,637.0,637.0,GATA3
SMARCC1,0.26829970572423734,0.25865711503470656,130,0.34094842566129296,0.33282261416366044,200,0.3046240656927651,0.26829970572423734,200,8,130.0,200.0,130.0,GATA3
INO80,0.28922691408810164,0.2874547532902751,331,0.31770589393906046,0.3121526303800795,244,0.30346640401358105,0.28922691408810164,331,9,331.0,244.0,244.0,GATA3
SMARCB1,0.2834538534166137,0.2758740328502553,1920,0.32008094428232625,0.31727635788309044,1036,0.30176739884947,0.2834538534166137,1920,10,1920.0,1036.0,1036.0,GATA3
PDSS1,0.29417887518302194,0.29512430523561517,384,0.3043692500901612,0.29584293010641755,112,0.29927406263659156,0.29417887518302194,384,11,384.0,112.0,112.0,GATA3
ID2,0.2733722839393051,0.2634676126412697,73,0.29742692683245253,0.2913618636792774,498,0.28539960538587883,0.2733722839393051,498,12,73.0,498.0,73.0,GATA3
NRAS,0.26687578028073683,0.28857493648707483,374,0.27308940698634376,0.2965359055783775,146,0.26998259363354027,0.26687578028073683,374,13,374.0,146.0,146.0,GATA3
LAT2,0.24305724570462633,0.24471965796169998,253,0.2790329101961058,0.2722765122940528,130,0.2610450779503661,0.24305724570462633,253,14,253.0,130.0,130.0,GATA3
NFRKB,0.23941970953923147,0.2292909940610942,2891,0.2794443110098684,0.2789560611474729,2519,0.25943201027454993,0.23941970953923147,2891,15,2891.0,2519.0,2519.0,GATA3
BHLHE40,0.24520374744180054,0.22399623838566302,1996,0.27280000665140475,0.26250961913209653,1686,0.25900187704660266,0.24520374744180054,1996,16,1996.0,1686.0,1686.0,GATA3
SMARCE1,0.22468705964454078,0.22826234855944766,3266,0.2910121553561234,0.29677960637948203,1585,0.2578496075003321,0.22468705964454078,3266,17,3266.0,1585.0,1585.0,GATA3
NAA40,0.24519524637802886,0.260738202352959,134,0.26969050055004773,0.2692525923795166,236,0.25744287346403827,0.24519524637802886,236,18,134.0,236.0,134.0,GATA3
DAP,0.18896782054170147,0.16822920947270653,226,0.32458999751068296,0.3149353343853799,265,0.2567789090261922,0.18896782054170147,265,19,226.0,265.0,226.0,GATA3
ADAM19,0.22869937675748894,0.22680105346575813,401,0.27901441207256783,0.28200970132136405,448,0.2538568944150284,0.22869937675748894,448,20,401.0,448.0,401.0,GATA3
KDM3B,0.2560995628654159,0.25847436138062146,139,0.24547876871338267,0.24472530182573266,29,0.2507891657893993,0.24547876871338267,139,21,139.0,29.0,29.0,GATA3
SMAD4,0.2740863578323958,0.26818520750325636,24,0.22626483674974315,0.22569541883930394,73,0.2501755972910695,0.22626483674974315,73,22,24.0,73.0,24.0,GATA3
