gene,cosine_Stim8hr,pearson_8,n_downstream_8,cosine_Stim48hr,pearson_48,n_downstream_48,cosine_mean,cosine_min,n_downstream_max,rank,n_downstream_Stim8hr,n_downstream_Stim48hr,nd_min,anchor
STAT6,0.7945618936980949,0.7965485729920788,232,0.9246450857344611,0.9256606877289346,1127,0.8596034897162781,0.7945618936980949,1127,1,232.0,1127.0,232.0,STAT6
IL4R,0.5828890669586653,0.5830183997561521,239,0.7388118285548371,0.7388784293526887,728,0.6608504477567512,0.5828890669586653,728,2,239.0,728.0,239.0,STAT6
FBXO32,0.32844160373666387,0.3326436613567117,747,0.47637625057067634,0.47702619342523567,386,0.4024089271536701,0.32844160373666387,747,3,747.0,386.0,386.0,STAT6
PTPRC,0.3110778520374816,0.32632786280305875,2254,0.4718610415322007,0.48378541236740424,3225,0.3914694467848412,0.3110778520374816,3225,4,2254.0,3225.0,2254.0,STAT6
NCAPG2,0.32305157265249623,0.34043727120916206,1696,0.3781441508109632,0.38702719963563353,1178,0.3505978617317297,0.32305157265249623,1696,5,1696.0,1178.0,1178.0,STAT6
CLCC1,0.26129974616511464,0.2694927522818057,679,0.4314368370183317,0.43721661293787284,1731,0.34636829159172317,0.26129974616511464,1731,6,679.0,1731.0,679.0,STAT6
LEO1,0.3068006141889475,0.3069740670235528,2663,0.3561078918912396,0.3595488236051183,1790,0.33145425304009357,0.3068006141889475,2663,7,2663.0,1790.0,1790.0,STAT6
DCAF5,0.3291486224581227,0.3432131363156361,66,0.314728770554204,0.320830364466384,158,0.32193869650616336,0.314728770554204,158,8,66.0,158.0,66.0,STAT6
OTUD4,0.3238643160258084,0.3246702413430535,35,0.2765345805241265,0.27651544217404744,22,0.3001994482749675,0.2765345805241265,35,9,35.0,22.0,22.0,STAT6
PPP3R1,0.18627008221603683,0.19010322797892062,612,0.4033434441657359,0.411043325398838,522,0.2948067631908864,0.18627008221603683,612,10,612.0,522.0,522.0,STAT6
TMX1,0.189257719318783,0.19567043869872955,2346,0.39072778868510954,0.3916045872423813,1959,0.28999275400194624,0.189257719318783,2346,11,2346.0,1959.0,1959.0,STAT6
PCYT2,0.30871635214424215,0.30971727399539284,723,0.26452751333453,0.27455359049051,684,0.2866219327393861,0.26452751333453,723,12,723.0,684.0,684.0,STAT6
CREB1,0.1910618997064028,0.19097893426185653,435,0.37863789874861314,0.3790676118627331,488,0.284849899227508,0.1910618997064028,488,13,435.0,488.0,435.0,STAT6
TENT2,0.3288942377429911,0.3471383654582866,1357,0.23065115269843828,0.23333171736319033,60,0.2797726952207147,0.23065115269843828,1357,14,1357.0,60.0,60.0,STAT6
NFKBIL1,0.1692160902585017,0.17241168457599398,953,0.3864133562971125,0.3888682598938159,32,0.2778147232778071,0.1692160902585017,953,15,953.0,32.0,32.0,STAT6
INPP5F,0.1614416344485669,0.16450961019815094,125,0.387882126606452,0.3880928177907713,40,0.27466188052750945,0.1614416344485669,125,16,125.0,40.0,40.0,STAT6
WNK1,0.3301901238396941,0.3345014681121958,376,0.21677945365245882,0.2193700512788157,98,0.27348478874607646,0.21677945365245882,376,17,376.0,98.0,98.0,STAT6
ORAI1,0.24473869154776068,0.25296745055474323,1249,0.2961749564158988,0.3034680568422624,76,0.27045682398182974,0.24473869154776068,1249,18,1249.0,76.0,76.0,STAT6
UBE2F,0.21252011159912043,0.21314044519559944,101,0.32259442131194316,0.32553873426544244,26,0.2675572664555318,0.21252011159912043,101,19,101.0,26.0,26.0,STAT6
PLCG1,0.22734383967885305,0.2410418427704759,5032,0.304356339978415,0.3132006805205254,2217,0.265850089828634,0.22734383967885305,5032,20,5032.0,2217.0,2217.0,STAT6
TMED9,0.29947122386098196,0.328890437510914,2576,0.231580583942973,0.23644985431594687,517,0.2655259039019775,0.231580583942973,2576,21,2576.0,517.0,517.0,STAT6
ERCC1,0.17582476893789836,0.17625774936078448,235,0.3543262745763523,0.3544352850435952,415,0.26507552175712534,0.17582476893789836,415,22,235.0,415.0,235.0,STAT6
COPS9,0.2016163073484781,0.20543145788330713,44,0.321672988161208,0.3273395214943087,88,0.26164464775484303,0.2016163073484781,88,23,44.0,88.0,44.0,STAT6
ELP5,0.27995176932996,0.28244889791363575,570,0.24115435953601186,0.24409282154406275,206,0.2605530644329859,0.24115435953601186,570,24,570.0,206.0,206.0,STAT6
CD3E,0.2448647586336036,0.2578410952643388,5710,0.2696276561686962,0.2844288606883333,1585,0.2572462074011499,0.2448647586336036,5710,25,5710.0,1585.0,1585.0,STAT6
CAPZA1,0.17232638431227562,0.17225147798273258,54,0.3407465862956915,0.34322889493920633,52,0.25653648530398354,0.17232638431227562,54,26,54.0,52.0,52.0,STAT6
PARP14,0.16385612205934222,0.1657830343517732,1328,0.3475024568527364,0.35030387984969596,113,0.2556792894560393,0.16385612205934222,1328,27,1328.0,113.0,113.0,STAT6
TBL1XR1,0.12397937355028373,0.12388638074033445,124,0.3787893923013176,0.37882496042252184,426,0.2513843829258007,0.12397937355028373,426,28,124.0,426.0,124.0,STAT6
ITK,0.21835622960846288,0.22706971208412455,3392,0.2812131265249659,0.2825483493956503,2565,0.2497846780667144,0.21835622960846288,3392,29,3392.0,2565.0,2565.0,STAT6
MYO9A,0.08530502504961632,0.08562345111064697,364,0.4070921176050213,0.41150419062605315,526,0.24619857132731882,0.08530502504961632,526,30,364.0,526.0,364.0,STAT6
SAMD1,0.21911225103890072,0.2250459847315746,484,0.26956223076463326,0.27537123861060375,582,0.244337240901767,0.21911225103890072,582,31,484.0,582.0,484.0,STAT6
RAC2,0.20191424391573515,0.21235881214754845,120,0.2866978587713297,0.2875298358434149,1094,0.24430605134353242,0.20191424391573515,1094,32,120.0,1094.0,120.0,STAT6
CAND1,0.14206934739968186,0.14202881803116718,1158,0.33565141550362293,0.3360504698256265,928,0.2388603814516524,0.14206934739968186,1158,33,1158.0,928.0,928.0,STAT6
ZAP70,0.21435693927256783,0.22488753707626974,5021,0.26227590609188295,0.27543248960613503,2485,0.2383164226822254,0.21435693927256783,5021,34,5021.0,2485.0,2485.0,STAT6
TOR1A,0.2801378366371081,0.2829512480438716,28,0.18816546929585193,0.18959848055617134,58,0.23415165296648002,0.18816546929585193,58,35,28.0,58.0,28.0,STAT6
BRK1,0.2191537158258631,0.224252846783734,1276,0.24767733010593984,0.25172495407448564,425,0.23341552296590146,0.2191537158258631,1276,36,1276.0,425.0,425.0,STAT6
EDC3,0.2816705348464263,0.29187908908413984,777,0.18503067657613012,0.18742496351929272,131,0.2333506057112782,0.18503067657613012,777,37,777.0,131.0,131.0,STAT6
TASOR,0.17524810132906432,0.18335364983382602,373,0.2894554999536211,0.29221976129969546,359,0.2323518006413427,0.17524810132906432,373,38,373.0,359.0,359.0,STAT6
GNS,0.0984683683341809,0.09939970447885979,20,0.36589519718365376,0.3716281395731528,35,0.23218178275891732,0.0984683683341809,35,39,20.0,35.0,20.0,STAT6
HDHD3,0.24723855297523156,0.25013197107918644,117,0.21475650063718885,0.2169243402280099,32,0.23099752680621022,0.21475650063718885,117,40,117.0,32.0,32.0,STAT6
CNOT6L,0.1685901134029881,0.1791175441483321,28,0.29287753022166974,0.2936016157200331,108,0.23073382181232893,0.1685901134029881,108,41,28.0,108.0,28.0,STAT6
KMT2E,0.09891621117997844,0.09885120800237038,303,0.3612411216582246,0.36123405060360947,895,0.23007866641910152,0.09891621117997844,895,42,303.0,895.0,303.0,STAT6
ATP2A2,0.35448615909166276,0.38797760947730475,3259,0.10494945206565202,0.10912499890559647,1565,0.2297178055786574,0.10494945206565202,3259,43,3259.0,1565.0,1565.0,STAT6
HDAC1,0.16766202490747992,0.16756983386463864,89,0.2897673584342085,0.29000587842374237,58,0.22871469167084418,0.16766202490747992,89,44,89.0,58.0,58.0,STAT6
